Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/3031-Mineral-Bluff-Hwy-Mineral-Bluff-GA-30559/96827487_zpid/,413495,Single Family,335000,07/17/2025,2040,sqft,164.22,4.14,acres,3,3,3031 Mineral Bluff Hwy,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/86-Cozy-Valley-Ln-Cherry-Log-GA-30522/96828997_zpid/,7532546,Single Family,475000,07/17/2025,2208,sqft,215.13,1.6,acres,3,2,86 Cozy Valley Ln,Cherry Log,30522,GA,USA
https://www.zillow.com/homedetails/47-Seneca-Dr-Ellijay-GA-30540/447287299_zpid/,415679,Lot/Land,35000,07/17/2025,,,,0.74,acres,,,47 Seneca Dr,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/160-Arrowhead-Pass-Blue-Ridge-GA-30513/2060183315_zpid/,414209,Single Family,579000,07/17/2025,1100,sqft,526.36,2.78,acres,3,2,160 Arrowhead Pass,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/2443-Ada-St-Blue-Ridge-GA-30513/96831328_zpid/,7382012,Single Family,420000,07/16/2025,3408,sqft,123.24,2.49,acres,5,4,2443 Ada St,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/Cook-Dr-Ellijay-GA-30540/228832537_zpid/,,Single Family,80000,07/16/2025,,,,3.52,acres,,,Cook Dr,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/271-The-Builders-Hl-Morganton-GA-30560/228801986_zpid/,415732,Single Family,340000,07/15/2025,948,sqft,358.65,0.79,acres,2,2,271 The Builders Hl,Morganton,30560,GA,USA
https://www.zillow.com/homedetails/101-Sweetwater-Trl-Epworth-GA-30541/228802075_zpid/,,Single Family,420000,07/15/2025,1200,sqft,350,1.95,acres,,2,101 Sweetwater Trl,Epworth,30541,GA,USA
https://www.zillow.com/homedetails/419-Little-Rock-Creek-Rd-2-Ellijay-GA-30536/306560000_zpid/,,Lot/Land,210000,07/15/2025,,,,3.53,acres,,,419 Little Rock Creek Rd #2,Ellijay,30536,GA,USA
https://www.zillow.com/homedetails/264-Tanglewood-Cv-Blue-Ridge-GA-30513/96829798_zpid/,415039,Single Family,539500,07/14/2025,3676,sqft,146.76,0.91,acres,5,4,264 Tanglewood Cv,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/240-Donna-Lee-Ln-Mineral-Bluff-GA-30559/228807513_zpid/,415923,Single Family,440000,07/14/2025,972,sqft,452.67,3,acres,2,2,240 Donna Lee Ln,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/67-Oakwood-Trl-Mineral-Bluff-GA-30559/448484469_zpid/,414039,Single Family,539500,07/14/2025,2016,sqft,267.61,1.11,acres,3,3,67 Oakwood Trl,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/220-Yellow-Bird-Dr-Blue-Ridge-GA-30513/96829820_zpid/,,Single Family,445000,07/11/2025,1440,sqft,309.03,1.05,acres,3,2,220 Yellow Bird Dr,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/76-Friendship-Rd-Blue-Ridge-GA-30513/96833372_zpid/,416729,Lot/Land,20000,07/11/2025,,,,0.57,acres,,,76 Friendship Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/315-Mount-Carmel-Rd-Morganton-GA-30560/110790967_zpid/,10305828,Single Family,340000,07/11/2025,3412,sqft,99.65,2.71,acres,3,3,315 Mount Carmel Rd,Morganton,30560,GA,USA
https://www.zillow.com/homedetails/118-Brandon-Ln-Epworth-GA-30541/228802268_zpid/,416507,Single Family,300000,07/11/2025,1392,sqft,215.52,2,acres,2,2,118 Brandon Ln,Epworth,30541,GA,USA
https://www.zillow.com/homedetails/Laurel-Creek-Rd-Ellijay-GA-30536/306551504_zpid/,,Single Family,55000,07/11/2025,,,,1.18,acres,,,Laurel Creek Rd,Ellijay,30536,GA,USA
https://www.zillow.com/homedetails/0-Laurel-Creek-Way-28-Blue-Ridge-GA-30513/448973955_zpid/,7494763,Lot/Land,55000,07/11/2025,,,,1.18,acres,0,0,0 Laurel Creek Way #28,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/11-Mill-Creek-Acres-Blue-Ridge-GA-30513/294988985_zpid/,10402889,Lot/Land,28000,07/10/2025,,,,1,acres,,,11 Mill Creek Acres,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/220-Old-Mill-Trce-Blue-Ridge-GA-30513/442136663_zpid/,414474,Single Family,420000,07/10/2025,2749,sqft,152.78,4.34,acres,3,3,220 Old Mill Trce,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/0-Watkins-Rd-Blue-Ridge-GA-30513/446618859_zpid/,10548944,Lot/Land,55000,07/10/2025,,,,3.24,acres,,,0 Watkins Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/208-Sweetwater-Trl-Epworth-GA-30541/446928393_zpid/,412986,Single Family,420000,07/10/2025,1050,sqft,400,0.9,acres,2,1,208 Sweetwater Trl,Epworth,30541,GA,USA
https://www.zillow.com/homedetails/220-Yellowbird-Trl-40-Blue-Ridge-GA-30513/450414784_zpid/,10510864,Single Family,445000,07/10/2025,2880,sqft,154.51,1.05,acres,4,3,220 Yellowbird Trl #40,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/220-Yellowbird-Trl-Blue-Ridge-GA-30513/2137883854_zpid/,412848,Single Family,445000,07/10/2025,2880,sqft,154.51,1.05,acres,4,3,220 Yellowbird Trl,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/315-Mill-Creek-Acres-Blue-Ridge-GA-30513/96824946_zpid/,414026,Single Family,270000,07/09/2025,1407,sqft,191.9,1,acres,3,2,315 Mill Creek Acres,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/Shenendoa-Dr-Ellijay-GA-30540/228835777_zpid/,,Single Family,27500,07/09/2025,,,,1.1,acres,,,Shenendoa Dr,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/50-Toccoa-Preserve-Ln-Blue-Ridge-GA-30513/441944859_zpid/,416033,Single Family,576429,07/09/2025,2685,sqft,214.68,1.03,acres,4,3,50 Toccoa Preserve Ln,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/228-Ernest-Alta-Cir-Blue-Ridge-GA-30513/228804930_zpid/,7558548,Single Family,585900,07/08/2025,2040,sqft,287.21,0.94,acres,3,3,228 Ernest Alta Cir,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/7255-Blue-Ridge-Dr-Blue-Ridge-GA-30513/228813942_zpid/,415217,Single Family,250000,07/07/2025,,,,2.34,acres,4,2,7255 Blue Ridge Dr,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/99-Mull-Dr-Mineral-Bluff-GA-30559/305161319_zpid/,,Single Family,177500,07/07/2025,650,sqft,273.08,4.14,acres,1,1,99 Mull Dr,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/162-Toccoa-Overlook-Ln-Blue-Ridge-GA-30513/228804833_zpid/,413975,Single Family,525000,07/03/2025,2080,sqft,252.4,1.64,acres,3,3,162 Toccoa Overlook Ln,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/2357-Ada-St-Blue-Ridge-GA-30513/453103608_zpid/,416424,Single Family,584000,07/03/2025,1288,sqft,453.42,1.51,acres,2,3,2357 Ada St,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/Neshoba-Ct-E-Ellijay-GA-30540/228836059_zpid/,,Single Family,160000,07/02/2025,,,,1.45,acres,,,Neshoba Ct E,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/13-Katie-Haven-Rd-Morganton-GA-30560/450094831_zpid/,414937,Lot/Land,70000,07/02/2025,,,,0.79,acres,,,13 Katie Haven Rd,Morganton,30560,GA,USA
